,text,color,size,position,time,sn,userid
212,影片90秒 廣告30秒,#FFFFFF,1,0,356,44744709,a4391030
213,???,#FFFFFF,1,0,359,41709872,joe71406
214,兄弟你好香,#FFFFFF,1,0,359,44049543,A524gino
215,蛤?,#FFFFFF,1,0,360,41701450,gl0507
216,好讚,#FFFFFF,1,0,364,37285672,k122662479
217,我也要吃布丁,#FFFFFF,1,0,365,43908582,Anima0415
218,y,#FFFFFF,1,0,366,42795395,haps108240
219,嗨,#FFFFFF,1,0,370,41337806,CATDOG2333
220,咿咿咿咿咿咿咿咿咿咿咿咿咿咿,#FFFFFF,1,0,372,43519307,joy613536
221,過半警告,#FFFFFF,1,0,376,37359970,robin7331899
222,感謝巴哈上動畫,#FFFFFF,1,0,378,37257322,mo0209
223,嗨,#FFFFFF,1,0,380,42678961,s109231
224,好可愛,#FFFFFF,1,0,380,43032398,Katie2013
225,喔我要不行惹,#FFFFFF,1,0,382,43650219,annana566
226,課爆!!!!!!!!!!!!!!!!!!!!!!,#FFFFFF,1,0,386,42317242,lois19920926
227,可愛,#FF9625,2,2,387,42532160,rosa0812
228,&2&8/$:7.!/,#FFFFFF,1,0,390,41438770,s0714eddie
229,會有螞蟻XD,#0036FA,1,0,392,39963278,haru15
230,我竟然有反應欸！！！,#FF0026,1,1,395,44035489,Dhkwk
231,口愛,#FFFFFF,1,0,397,38841610,roucichiu
232,我的屁股⬇️,#FFFFFF,2,1,398,37740788,Luna1023
233,好好吃,#FFFFFF,1,0,400,43023482,cxj20130622
234,哇,#FFFFFF,1,0,400,44529562,st5109185
235,看到壞鬆餅直接笑出來,#FFFFFF,1,0,405,41223436,kbfr
236,好可愛,#FFFFFF,1,0,405,42949205,ye978799
237,碰！,#FDE53D,2,2,408,37209651,seeso
238,可愛,#FFFFFF,1,0,410,41576686,Yuooo1221
239,你這個壞鬆餅,#FF0026,1,2,415,40285661,wegt458
240,碰,#FFFFFF,1,0,416,42220545,qOuOl
241,怎麼到處都有homo阿 (惱,#FFFFFF,1,0,428,37933031,udte0503
242,寶寶!,#FFFFFF,1,0,431,42192993,peter880421
243,兄弟…,#FFFFFF,1,0,438,39010683,yukipedia
244,過半警告(也太快xd),#FFFFFF,1,0,440,44467853,Meatbun1204
245,<(˙▽˙<),#FF9496,2,0,442,37651666,pinky122116
246,好可愛,#FF0026,1,1,442,42577275,ryanwu0615
247,碰,#00FF91,1,0,444,41946188,Onandoff
248,這筆天竺鼠車車還短耶,#FFFFFF,1,0,448,41597804,nico7214034
249,😯,#FFFFFF,1,0,450,40744524,ooxx1125
250,Isuzu b hsushshushs sixoxiu🫒😂🫒,#00FF91,1,0,450,41438775,s0714eddie
251,我朋友射了,#FF0026,1,1,455,44035504,Bro0201
252,兔子好鬧🤣🤣可愛,#FFFFFF,1,0,460,41452694,nina766335
253,鬆餅，你好香( 。ớ ₃ờ)ھ,#FFFFFF,1,0,463,43683890,annana566
254,人類：手機先吃,#FFFFFF,1,0,463,43683900,annana566
255,這食物這算不算SM,#FFFFFF,1,0,463,43683911,annana566
256,呀哈,#FFFFFF,1,0,464,43703781,schy90503
257,磅！,#FDE53D,1,2,465,37363800,chenwenxin
258,兄弟 想趴你,#FFFFFF,1,0,465,37912091,thffhrherh5
259,為什麼要拍？,#FFFFFF,1,0,465,40271978,Bananaaa
260,真的好療癒,#FF9496,2,0,466,42934909,yuyan5831
261,什麼可愛小卡通！根本美食節目嗎🧡🧡！,#FDE53D,2,0,466,44403861,wunuynuy
262,%,#FDE53D,1,0,467,37090648,xman123
263,好愛兔兔的精神狀態,#FFFFFF,1,0,468,42694476,mia7721
264,我是鬆餅ww,#FFFFFF,1,2,470,44806397,season1011
265,spanking,#FFFFFF,1,0,471,42004802,Newbiesama
266,我也想拍打鬆餅,#FF0026,2,0,474,37172402,qwe30315
267,烏薩奇,#FFFFFF,1,0,475,42552428,Jamei0111
268,2月9日,#FFFFFF,1,0,475,43843917,Mia1020214
269,🍕,#FFFFFF,1,0,475,44957860,cwr1120
270,好香啊,#FFFFFF,1,0,477,41817960,cjad20010827
271,bonk,#FFFFFF,1,0,478,37102731,sevenwgsss
272,%,#FFFFFF,1,0,480,37093635,BBB122328
273,好想吃,#FFFFFF,1,0,480,44529563,st5109185
274,哈哈哈,#FFFFFF,1,0,485,42454655,ayiimilk
275,好可愛,#FF9496,2,0,487,41465869,ching72325
276,謝謝巴哈,#FFFFFF,1,0,489,38014630,tiger5567
277,無敵可愛！！,#FFFFFF,1,0,489,38496585,vicky220
278,我切切切！,#FFFFFF,2,2,490,41385333,cecelia0407
279,超可愛ㄟ,#00C3FC,1,0,490,43594337,yqr1009
280,好好吃,#FFFFFF,1,0,495,38508093,Furabbit
281,快被可愛死了救命,#FFFFFF,2,0,495,40538581,shmily120433
282,打我屁股,#FF0026,2,1,496,39378644,BHSN000058k3
283,食物SM,#FDE53D,2,2,497,41032278,sunnyjiss6
284,過半警告,#FFFFFF,1,0,499,42532879,JIGUANG2010
285,不要玩食物,#FFFFFF,1,0,503,38219600,keroro9987
286,2024/11/11簽,#FFFFFF,1,0,503,42694481,mia7721
287,???????????????????????????,#FFFFFF,1,0,508,40801122,Angela213120
288,這是太熱再拍坐墊的感覺,#FFFFFF,1,0,510,41544582,yuri930603
289,%%%,#FFFFFF,1,0,515,40226976,rc20081109
290,感謝巴哈上架超可愛動畫！,#FFFFFF,1,0,517,37138683,amazingcaty
291,好想扁他們喔,#FFFFFF,1,0,518,41721397,alen940115
292,wow,#FFFFFF,1,0,519,44155003,timlin0808
293,😋,#FFFFFF,1,0,520,37869385,m18322415928
294,我想吃鬆餅🥞,#FFFFFF,1,0,520,38905017,n1073219
295,吃貨兔兔,#FFFFFF,1,0,520,44744627,rvvvv
296,好可愛,#FF9496,1,0,522,40667147,ariel0321
