,en,href,rating,area_genre,dinner_price,lunch_price,holiday
77,La Boutique de Joël Robuchon Marunochi Burikkusukuea Ten,https://tabelog.com/tw/tokyo/A1302/A130201/13096409/,3.78,"二重橋前車站 / 麵包, 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
78,Kuromatsu Honpo Sogetsu,https://tabelog.com/tw/tokyo/A1323/A132304/13003793/,3.78,"東十條車站 / 日式點心, 銅鑼燒",- JPY 999,- JPY 999,星期二
79,Waguri Ya Yanaka Ten,https://tabelog.com/tw/tokyo/A1311/A131106/13130539/,3.78,"千馱木車站 / 甜點, 咖啡店, 意式冰淇淋/冰淇淋","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
80,haritts Uehara Ten,https://tabelog.com/tw/tokyo/A1318/A131811/13023466/,3.78,"代代木上原車站 / 甜甜圈, 咖啡店, 西式甜點",- JPY 999,- JPY 999,星期日
81,Chiba Ya,https://tabelog.com/tw/tokyo/A1311/A131102/13008691/,3.78,"淺草車站 / 烤地瓜/拔絲地瓜, 日式點心, 甜點",- JPY 999,- JPY 999,"星期一, 星期二"
82,Matsushimaya,https://tabelog.com/tw/tokyo/A1314/A131403/13007137/,3.78,"泉岳寺車站 / 日式點心, 大福麻糬",- JPY 999,- JPY 999,星期日
83,LES CACAOS Hon Ten,https://tabelog.com/tw/tokyo/A1316/A131603/13203619/,3.78,"五反田車站 / 巧克力, 蛋糕, 西式甜點",- JPY 999,- JPY 999,星期二
84,Zuckerbäckerei Kayanuma,https://tabelog.com/tw/tokyo/A1308/A130802/13002756/,3.78,"溜池山王車站 / 蛋糕, 西式甜點","JPY 3,000 - JPY 3,999",-,"星期一, 星期日, 節假日"
85,LA BOUTIQUE de Joel Rubchon Roppongi Hiruzu Ten,https://tabelog.com/tw/tokyo/A1307/A130701/13020237/,3.78,"六本木車站 / 麵包, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
86,Okashi Dokoro Sasama,https://tabelog.com/tw/tokyo/A1310/A131003/13000627/,3.78,神保町車站 / 日式點心,- JPY 999,- JPY 999,"星期日, 節假日"
87,Usagiya Chuo Tori Ten,https://tabelog.com/tw/tokyo/A1302/A130202/13041161/,3.78,"日本橋車站 / 日式點心, 銅鑼燒",- JPY 999,-,星期日
88,MAISON D'AHNI,https://tabelog.com/tw/tokyo/A1316/A131602/13183428/,3.78,"白金高輪車站 / 蛋糕, 麵包",-,"JPY 1,000 - JPY 1,999",星期二
89,STAR BAR GINZA,https://tabelog.com/tw/tokyo/A1301/A130101/13002270/,3.78,"銀座一丁目車站 / 酒吧, 剉冰",-,-,-
90,Himitsu Do,https://tabelog.com/tw/tokyo/A1311/A131106/13126796/,3.77,"日暮里車站 / 剉冰, 日式甜點店","JPY 2,000 - JPY 2,999","JPY 1,000 - JPY 1,999",星期一
91,Nata de Cristiano's,https://tabelog.com/tw/tokyo/A1318/A131810/13153384/,3.77,"代代木公園車站 / 甜點, 麵包, 蛋糕",- JPY 999,- JPY 999,-
92,Fruit Parlour Goto,https://tabelog.com/tw/tokyo/A1311/A131102/13095672/,3.77,"淺草車站 / 水果聖代, 咖啡店, 剉冰","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999","星期三, 星期四"
93,Patisserie Les Annees Folles Ebisu Honten,https://tabelog.com/tw/tokyo/A1303/A130302/13149501/,3.77,代官山車站 / 蛋糕,- JPY 999,- JPY 999,-
94,Seijuken,https://tabelog.com/tw/tokyo/A1302/A130204/13213772/,3.77,"小傳馬町車站 / 日式點心, 銅鑼燒",-,- JPY 999,"星期六, 星期日, 節假日"
95,Criollo Nakameguro Ten,https://tabelog.com/tw/tokyo/A1317/A131701/13077927/,3.77,"中目黑車站 / 蛋糕, 巧克力, 馬卡龍","JPY 4,000 - JPY 4,999",-,-
96,Le Grenier à Pan Koji Chiyocho Ten,https://tabelog.com/tw/tokyo/A1308/A130803/13011374/,3.77,"半藏門車站 / 麵包, 三明治, 蛋糕",- JPY 999,- JPY 999,-
97,LA BOUTIQUE de Joel Robushon Ebisu Garden Place Ten,https://tabelog.com/tw/tokyo/A1303/A130302/13014064/,3.77,"惠比壽車站 / 麵包, 蛋糕, 三明治","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
98,Chimoto,https://tabelog.com/tw/tokyo/A1317/A131702/13003218/,3.77,"都立大學車站 / 日式點心, 日式甜點店, 剉冰","JPY 1,000 - JPY 1,999",- JPY 999,"星期三, 星期四"
99,Fiorentina Pastry Boutique,https://tabelog.com/tw/tokyo/A1307/A130701/13060521/,3.77,"六本木車站 / 蛋糕, 麵包, 巧克力","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
